timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/change_to_what,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/decrease_or_not,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/increase_or_not,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/largest_change,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/smallest_change,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n,200.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/change_or_not,71.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/change_ratio,10.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/change_ratio_types,29.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/change_to_what,16.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/decrease_or_not,24.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/increase_or_not,20.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/largest_change,15.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,n/smallest_change,15.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,oa,0.045000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,aa,0.610624,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,acc/comp,0.725000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,acc/count,0.106383,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,acc/presence,0.611111,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,acc/rural_urban,1.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,n,200.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,n/comp,80.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,n/count,47.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,n/presence,72.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,n/rural_urban,1.000000,3.79,1.1.0,6709386b4449,
2026-09-10T11:25:44+00:00,rsvqa_lr,vqa,hf,/workspace/runs/merged,200,oa,0.540000,3.79,1.1.0,6709386b4449,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,bleu1,0.169739,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,bleu2,0.047815,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,bleu3,0.013019,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,bleu4,0.003407,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,cider_d,0.002673,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,n,200.000000,34.97,1.1.0,b139644900af,
2026-09-10T11:26:20+00:00,vrsbench_caption,caption,hf,/workspace/runs/merged,200,rouge_l,0.154194,34.97,1.1.0,b139644900af,
2026-09-10T11:26:35+00:00,vrsbench_referring,grounding,hf,/workspace/runs/merged,200,acc@0.25,0.005000,14.42,1.1.0,f04d0362c36b,
2026-09-10T11:26:35+00:00,vrsbench_referring,grounding,hf,/workspace/runs/merged,200,acc@0.5,0.000000,14.42,1.1.0,f04d0362c36b,
2026-09-10T11:26:35+00:00,vrsbench_referring,grounding,hf,/workspace/runs/merged,200,miou,0.003156,14.42,1.1.0,f04d0362c36b,
2026-09-10T11:26:35+00:00,vrsbench_referring,grounding,hf,/workspace/runs/merged,200,n,200.000000,14.42,1.1.0,f04d0362c36b,
2026-09-10T11:26:35+00:00,vrsbench_referring,grounding,hf,/workspace/runs/merged,200,parse_rate,1.000000,14.42,1.1.0,f04d0362c36b,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,aa,0.333293,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/image,0.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object category,0.068966,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object color,0.333333,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object direction,0.500000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object existence,0.466667,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object position,0.233333,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object quantity,0.133333,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object shape,0.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/object size,0.375000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/reasoning,0.500000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/rural or urban,1.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,acc/scene type,0.388889,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n,200.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/image,7.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object category,29.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object color,15.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object direction,2.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object existence,45.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object position,30.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object quantity,30.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object shape,7.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/object size,8.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/reasoning,8.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/rural or urban,1.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,n/scene type,18.000000,13.48,1.1.0,4f815a89ec06,
2026-09-10T11:26:49+00:00,vrsbench_vqa,vqa,hf,/workspace/runs/merged,200,oa,0.275000,13.48,1.1.0,4f815a89ec06,
